#
#  metacyc 19.5 Pathways link table generated on Tue Oct 6, 2015
#
PWY-6012-1	acyl carrier protein activation	[acp] metabolism	ACP metabolism
PWY-5143	long-chain fatty acid activation	long-chain acyl-CoA synthetase pathway
PWY-7615	pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)	
PWY-7635	kievitone detoxification	
PWY-6507	4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation	5-dehydro-4-deoxy-D-glucuronate degradation
PWY-6516	superpathway of microbial D-galacturonate and D-glucuronate degradation	
PWY0-1261	anhydromuropeptides recycling	1,6-anhydro-<i>N</i>-acetylmuramic acid recycling	cell wall recycling
PWY0-521	fructoselysine and psicoselysine degradation	fructoselysine degradation
PWY-4781	phytate degradation II	
PWY-4702	phytate degradation I	
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	
PWY-7237	<i>myo</i>-, <i>chiro</i>- and <i>scillo</i>-inositol degradation	
RIBITOLUTIL-PWY	ribitol degradation	
DARABITOLUTIL-PWY	D-arabitol degradation	D-arabitol utilization
LARABITOLUTIL-PWY	xylitol degradation	L-arabitol and xylitol utilization	L-arabitol and xylitol degradation
P562-PWY	<I>myo</I>-inositol degradation I	
PWY-7241	<I>myo</I>-inositol degradation II	
PWY-4101	D-sorbitol degradation I	sorbitol utilization
SORBDEG-PWY	D-sorbitol degradation II	
GALACTITOLCAT-PWY	galactitol degradation	galactitol catabolism
MANNIDEG-PWY	mannitol degradation I	
PWY-6531	mannitol cycle	
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	sorbitol metabolism	sorbitol fermentation	mannitol fermentation	sugar alcohol fermentation
PWY-7722	sulfoquinovose degradation II	
PWY-7446	sulfoquinovose degradation I	sulphoglycolysis	sulfoglycolysis
6-HYDROXYCINEOLE-DEGRADATION-PWY	1,8-cineole degradation	6-hydroxycineole degradation
PWY-6413	ginsenoside degradation III	
PWY-6670	citronellol degradation	acyclic terpene utilization pathway
PWY-6672	<i>cis</i>-genanyl-CoA degradation	acyclic terpene utilization pathway
PWY-6678	geraniol and nerol degradation	citrol degradation
PWY-6806	carotenoid cleavage	apocarotenoid biosynthesis
PWY-6989	(-)-camphor degradation	(<i>S</i>)-camphor degradation	L-camphor degradation
P601-PWY	(+)-camphor degradation	(<i>R</i>)-camphor degradation	camphor 2,5 hydroxylating system	D-camphor degradation
PWY-5927	(4<i>S</i>)-carveol and (4<i>S</i>)-dihydrocarveol degradation	
PWY-5922	(4<i>R</i>)-carveol and (4<i>R</i>)-dihydrocarveol degradation	
PWY-6411	ginsenoside degradation I	
PWY-6412	ginsenoside degradation II	
PWY-6526	limonene degradation III (to perillate)	
PWY-5924	limonene degradation II (L-limonene)	(-)-limonene degradation	(-)-(4<i>S</i>)-limonene degradation
PWY-5923	limonene degradation I (D-limonene)	(+)-limonene degradation	(+)-(4<i>R</i>)-limonene degradation
PWY-6937	superpathway of testosterone and androsterone degradation	
PWY-6943	testosterone and androsterone degradation to androstendione	testosterone and androsterone degradation to androst-4-en-3,17-dione
PWY-6944	androstenedione degradation	
PWY-6948	sitosterol degradation to androstenedione	
PWY-6928	superpathway of cholesterol degradation I (cholesterol oxidase)	
PWY-6947	superpathway of cholesterol degradation II (cholesterol dehydrogenase)	
PWY-6946	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	
PWY-6945	cholesterol degradation to androstenedione I (cholesterol oxidase)	
PWY-2261	ascorbate glutathione cycle	hydrogen peroxide detoxification
PWY-6502	oxidized GTP and dGTP detoxification	8-oxo-(d)GTP detoxification	oxidized guanosine triphosphate and deoxyguanosine triphosphate detoxification	8-oxo-7,8-dihydro-guanosine-triphosphate and 8-oxo-7,8-dihydro-deoxyguanosine-triphosphate
PWY-6646	fluoroacetate degradation	
PWY-6745	phytochelatins biosynthesis	biosynthesis of heavy metal-binding ligands
PWY-6786	detoxification of reactive carbonyls in chloroplasts	detoxification of small reactive electrophile species in chloroplasts
PWY-6841	homophytochelatin biosynthesis	
PWY-6842	glutathione-mediated detoxification II	
PWY-6997	furfural degradation	
PWY1G-1	mycothiol-mediated detoxification	MSH detoxification pathway
PWY0-1299	arginine dependent acid resistance	
PWY-6828	linezolid resistance	peptidyl tranferase center modification
PWY-7096	triclosan resistance	
PWY-4521	arsenite oxidation I (respiratory)	
PWY-7429	arsenite oxidation II (respiratory)	
PWY-6421	arsenate detoxification III (mycothiol)	arsenate reduction (mycothiol)
PWY-4621	arsenate detoxification II (glutaredoxin)	
PWY-4202	arsenate detoxification I (glutaredoxin)	
PWY-7142	cyanide detoxification II	
P641-PWY	phenylmercury acetate degradation	
DETOX1-PWY-1	reactive oxygen species degradation	removal of superoxide radicals
DETOX1-PWY	superoxide radicals degradation	removal of superoxide radicals
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	
GLYOXYLATE-BYPASS	glyoxylate cycle	glyoxylate bypass	glyoxylate shunt
PWY-5197	lactate biosynthesis (archaea)	
PWY-5464	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation	
PWY-5723	Rubisco shunt	
PWY-5741	ethylmalonyl-CoA pathway	ethylmalonyl pathway
PWY-6728	methylaspartate cycle	
PWY-6859	<i>all-trans</i>-farnesol biosynthesis	<i>trans,trans</i>-farnesol biosynthesis
PWY-6871	3-methylbutanol biosynthesis	
PWY-6873	long chain fatty acid ester synthesis for microdiesel production	
PWY-6876	isopropanol biosynthesis	
PWY-6938	NADH repair	
PWY-6992	1,5-anhydrofructose degradation	
PWY-7007	methyl ketone biosynthesis	
PWY-7102	bisabolene biosynthesis	
PWY-7118	chitin degradation to ethanol	
PWY-7126	ethylene biosynthesis IV	
PWY-7178	ethylene glycol biosynthesis	
PWY0-1517	sedoheptulose bisphosphate bypass	
PWY-5173	superpathway of acetyl-CoA biosynthesis	
PWY-5172	acetyl-CoA biosynthesis III (from citrate)	
PWY-6970	acetyl-CoA biosynthesis II (NADP-dependent pyruvate dehydrogenase)	
P301-PWY	galena oxidation	oxidation of galena
P282-PWY	nitrite oxidation	
P283-PWY	hydrogen oxidation I (aerobic)	
PWY-6512	hydrogen oxidation III (anaerobic, NADP)	
PWY-5382	hydrogen oxidation II (aerobic, NAD)	
PWY-101	photosynthesis light reactions	
PWY0-1576	hydrogen to fumarate electron transfer	
PWY0-1348	NADH to dimethyl sulfoxide electron transfer	
PWY0-1356	formate to dimethyl sulfoxide electron transfer	
PWY0-1578	hydrogen to trimethylamine N-oxide electron transfer	
PWY0-1347	NADH to trimethylamine <i>N</i>-oxide electron transfer	
PWY0-1355	formate to trimethylamine <i>N</i>-oxide electron transfer	
PWY0-1577	hydrogen to dimethyl sulfoxide electron transfer	
PWY0-1582	glycerol-3-phosphate to fumarate electron transfer	
PWY0-1336	NADH to fumarate electron transfer	
PWY0-1353	succinate to cytochrome <i>bd</i> oxidase electron transfer	
PWY0-1565	D-lactate to cytochrome <i>bo</i> oxidase electron transport	
PWY-4302	aerobic respiration III (alternative oxidase pathway)	alternative oxidase pathway
PWY-7279	aerobic respiration II (cytochrome c) (yeast)	
PWY-7545	pyruvate to cytochrome <i>bd</i> terminal oxidase electron transfer	pyruvate oxidation pathway
PWY0-1335	NADH to cytochrome <i>bo</i> oxidase electron transfer I	
PWY0-1561	glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer	
PWY-3781	aerobic respiration I (cytochrome c)	
PWY0-1568	NADH to cytochrome <i>bd</i> oxidase electron transport II	
PWY-7544	pyruvate to cytochrome <i>bo</i> oxidase electron transfer	
PWY0-1334	NADH to cytochrome <i>bd</i> oxidase electron transfer I	
PWY0-1544	proline to cytochrome <i>bo</i> oxidase electron transfer	
PWY0-1567	NADH to cytochrome <i>bo</i> oxidase electron transfer II	
PWY0-1329	succinate to cytochrome <i>bo</i> oxidase electron transfer	
ANAEROFRUCAT-PWY	homolactic fermentation	anaerobic fructose catabolism	anaerobic fructose degradation	fructose fermentation to lactate
FERMENTATION-PWY	mixed acid fermentation	fermentation
P122-PWY	heterolactic fermentation	lactate heterofermentation	glucose fermentation to lactate	phosphoketolase pathway
PROPFERM-PWY	L-alanine fermentation to propanoate and acetate	propionate fermentation, nonrandomizing pathway	acrylate pathway	propionate fermentation	L-alanine fermentation to propionate and acetate
PWY-5109	2-methylbutanoate biosynthesis	2-methylbutyrate biosynthesis
PWY-5677	succinate fermentation to butanoate	
PWY-7383	anaerobic energy metabolism (invertebrates, cytosol)	
PWY-7384	anaerobic energy metabolism (invertebrates, mitochondrial)	
PWY-7385	1,3-propanediol biosynthesis (engineered)	1,3-PDO biosynthesis
PWY-7389	superpathway of anaerobic energy metabolism (invertebrates)	aspartate-succinate pathway
PWY-7401	crotonate fermentation (to acetate and cyclohexane carboxylate)	
PWY-7402	benzoate fermentation (to acetate and cyclohexane carboxylate)	
PWY-7541	1,2-propanediol biosynthesis from lactate (engineered)	
PWY-5939	(<i>R</i>)-acetoin biosynthesis II	D-acetoin biosynthesis II
PWY-5938	(<i>R</i>)-acetoin biosynthesis I	D-acetoin biosynthesis I
PWY3O-440	acetoin biosynthesis III	
PWY-6389	(<i>S</i>)-acetoin biosynthesis	L-acetoin biosynthesis
PWY-5676	acetyl-CoA fermentation to butanoate II	
P125-PWY	superpathway of (<i>R,R</i>)-butanediol biosynthesis	butylene glycol fermentation	butanediol fermentation
PWY-6391	<i>meso</i>-butanediol biosynthesis I	(<i>R,S</i>)-butylene glycol fermentation	(<i>R,S</i>)-butanediol fermentation	(<i>R,S</i>)-butanediol biosynthesis
PWY-6390	(<i>S,S</i>)-butanediol biosynthesis	(<i>S,S</i>)-butylene glycol fermentation	(<i>S,S</i>)-butanediol fermentation	(<i>S</i>)-acetoin degradation
PWY-6396	superpathway of 2,3-butanediol biosynthesis	butylene glycol fermentation	butanediol fermentation
PWY-5951	(<i>R,R</i>)-butanediol biosynthesis	(<i>R,R</i>)-butylene glycol fermentation	(<i>R,R</i>)-butanediol fermentation
PWY-6392	<i>meso</i>-butanediol biosynthesis II	(<i>R,S</i>)-butylene glycol fermentation	(<i>R,S</i>)-butanediol fermentation	(<i>R,S</i>)-butanediol biosynthesis
PWY-5096	pyruvate fermentation to acetate and alanine	modified Embden-Meyerhof pathway	anaerobic glycolysis	fermentation	glycolysis 2	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis II
PWY-6590	superpathway of <i>Clostridium acetobutylicum</i> acidogenic fermentation	acetobutylicum acidogenic fermentation
PWY-5481	pyruvate fermentation to lactate	
PWY-6863	pyruvate fermentation to hexanol	
PWY-5485	pyruvate fermentation to acetate IV	
PWY-7351	pyruvate fermentation to opines	
PWY-5537	pyruvate fermentation to acetate V	acetate fermentation	acetate:succinate CoA transferase/SCoAS cycle	ASCT cycle
CENTFERM-PWY	pyruvate fermentation to butanoate	central fermentation pathway	acetobutylicum fermentation	pyruvate fermentation to butyrate
PWY-5768	pyruvate fermentation to acetate VIII	
P41-PWY	pyruvate fermentation to acetate and lactate I	pyruvate metabolism
PWY-6588	pyruvate fermentation to acetone	acetone fermentation
PWY-5480	pyruvate fermentation to ethanol I	
PWY-6604	superpathway of <i>Clostridium acetobutylicum</i> acidogenic and solventogenic fermentation	
PWY-5483	pyruvate fermentation to acetate III	
PWY-5494	pyruvate fermentation to propanoate II (acrylate pathway)	propionate fermentation, nonrandomizing pathway	acrylate pathway	propionate fermentation	pyruvate fermentation to propionate II (acrylate pathway)
PWY-5600	pyruvate fermentation to acetate VII	acetate fermentation
P142-PWY	pyruvate fermentation to acetate I	acetate fermentation
PWY-6587	pyruvate fermentation to ethanol III	
PWY-5100	pyruvate fermentation to acetate and lactate II	
PWY-6594	superpathway of <i>Clostridium acetobutylicum</i> solventogenic fermentation	acetobutylicum solventogenic fermentation
PWY-5482	pyruvate fermentation to acetate II	
PWY-5486	pyruvate fermentation to ethanol II	
PWY4LZ-257	superpathway of fermentation (<i>Chlamydomonas reinhardtii</i>)	pyruvate fermentation (Chlamydomonas overview)	superpathway of fermentation from pyruvate (<i>Chlamydomonas reinhardtii</i>)
PWY-5538	pyruvate fermentation to acetate VI	acetate fermentation
P108-PWY	pyruvate fermentation to propanoate I	succinate-propionate fermentation pathway	pyruvate fermentation to propionate I	succinate-propanoate fermentation pathway
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	anaerobic glycolysis	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis III (glucokinase)
PWY-1042	glycolysis IV (plant cytosol)	glycolysis 4
P341-PWY	glycolysis V (Pyrococcus)	archaeal Embden-Meyerhof pathway	archaeal Embden-Meyerhof-Parnas pathway	archaeal EMP pathway
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	Embden-Meyerhof pathway	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis (plastidic)
PWY-5484	glycolysis II (from fructose 6-phosphate)	
PWY-6744	hydrogen production I	
PWY-6759	hydrogen production III	
PWY-6780	hydrogen production VI	
PWY-6758	hydrogen production II	
PWY-6772	hydrogen production V	
PWY-7731	superpathway of photosynthetic hydrogen production	photosynthetic hydrogen generation
PWY-6751	superpathway of hydrogen production	
PWY-6765	hydrogen production IV	
PWY-6785	hydrogen production VIII	photosynthetic hydrogen generation
PWY-6118	glycerol-3-phosphate shuttle	G3P shuttle	glycerol-3-P shuttle
PWY66-368	ketolysis	ketone body metabolism	ketone body degradation
PWY66-367	ketogenesis	acetoacetate biosynthesis	ketone body synthesis
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)	
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	
PENTOSE-P-PWY	pentose phosphate pathway	pentose shunt	hexose monophosphate shunt	phosphogluconate pathway	superpathway of oxidative and non-oxidative branches of pentose phosphate pathway
P21-PWY	pentose phosphate pathway (partial)	pentose phosphate pathway, Mycoplasma pneumonia
PHOTOALL-PWY	oxygenic photosynthesis	C3 photosynthesis
PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type	PCA cycle	C4 photosynthesis, NADP-ME type
PWY-181	photorespiration	C2 photorespiratory carbon oxidation cycle	PCO cycle
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type	C4 photosynthesis, PEPCK type
PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type	C4 photosynthesis, NAD-ME type
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	2-oxo acid dehydrogenase complex	branched-chain &alpha;-keto acid dehydrogenase complex
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	2-oxoglutarate dehydrogenase complex	2-ketoglutarate dehydrogenase complex
PWY-4601	arsenate reduction (respiratory)	
PWY-6530	perchlorate reduction	
PWY-6529	chlorate reduction	
PWY-5248	methanogenesis from dimethylamine	
PWY-5259	methanogenesis from methanethiol	
PWY-6830	superpathway of methanogenesis	
METHANOGENESIS-PWY	methanogenesis from H<SUB>2</SUB> and CO<SUB>2</SUB>	
PWY-5247	methanogenesis from methylamine	
PWY-5261	methanogenesis from tetramethylammonium	
METH-ACETATE-PWY	methanogenesis from acetate	aceticlastic pathway	aceticlastic methanogenesis	acetoclastic methanogenesis
PWY-5209	methyl-coenzyme M oxidation to CO<sub>2</sub>	
PWY-5250	methanogenesis from trimethylamine	
METHFORM-PWY	methyl-coenzyme M reduction to methane	methane formation from methanol	methanogenesis
TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA	
PWY-5690	TCA cycle II (plants and fungi)	TCA cycle -- aerobic respiration	tricarboxylic acid cycle	citric acid cycle	Szent-Gyorgyi-Krebs cycle	Krebs cycle
PWY-7254	TCA cycle VII (acetate-producers)	tricarboxylic acid cycle	citric acid cycle	Krebs cycle	Szent-Gyorgyi-Krebs cycle
TCA	TCA cycle I (prokaryotic)	tricarboxylic acid cycle	citric acid cycle	Krebs cycle	Szent-Gyorgyi-Krebs cycle
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	citric acid cycle	tricarboxylic acid cycle	Szent-Gyorgyi-Krebs cycle	Krebs cycle
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	citric acid cycle	tricarboxylic acid cycle	Szent-Gyorgyi-Krebs cycle	Krebs cycle
REDCITCYC	TCA cycle VIII (helicobacter)	Krebs cycle	tricarboxylic acid cycle	TCA cycle	citric acid cycle
PWY-5913	partial TCA cycle (obligate autotrophs)	TCA cycle VI (obligate autotrophs)
PWY66-398	TCA cycle III (animals)	tricarboxylic acid cycle	citric acid cycle	Szent-Gyorgyi-Krebs cycle	Krebs cycle
PWY-7511	protein ubiquitylation	
PWY-7434	terminal <i>O</i>-glycans residues modification	
PWY-7658	protein <I>N</i>-glycosylation (<i>Methanococcus voltae</i>)	
PWY-7433	mucin core 1 and core 2 <i>O</i>-glycosylation	
PWY-7437	protein <i>O</i>-[<i>N</i>-acetyl]-glucosylation	
PWY-7426	mannosyl-glycoprotein <i>N</i>-acetylglucosaminyltransferases	
PWY-7435	mucin core 3 and core 4 <i>O</i>-glycosylation	
PWY-7661	protein <I>N</i>-glycosylation (<i>Haloferax volcanii</i>)	
PWY0-781	aspartate superpathway	
PWY-6234	superpathway of jasmonoyl-amino acid conjugates biosynthesis	superpathway of JA-amino acid conjugate biosynthesis	superpathway of jasmonate-amino acid conjugate biosynthesis	superpathway of jasmonic acid-amino acid conjugate biosynthesis	superpathway of jasmonoyl-amino acid biosynthesis	superpathway of jasmonyl-amino acid biosynthesis
PWY-7537	superpathway of fumitremorgin biosynthesis	
PWY-5717	superpathway of formononetin derivative biosynthesis	
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	
PWY4FS-5	superpathway of phosphatidylcholine biosynthesis	
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	
PWY-5991	superpathway of linamarin and lotaustralin biosynthesis	
MET-SAM-PWY	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis	
PWY-6266	superpathway of flavones and derivatives biosynthesis	
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	galacturonate and glucuronate catabolism	superpathway of galacturonate and glucuronate degradation
